articulo,lote_proveedor,lote_componente,clave_unica
SCRE031,020721,020721,SCRE031-020721
SCRE032,020721,020721,SCRE032-020721
SEM077,020721,020721,SEM077-020721
SEM076,020721,020721,SEM076-020721
FCAR008,020721,020721,FCAR008-020721
SCRE033,020721,020721,SCRE033-020721
SCRE023,020721,020721,SCRE023-020721
FCAR031,020722,020722,FCAR031-020722
FCAR041,020722,020722,FCAR041-020722
SEM095,020722,020722,SEM095-020722
FPOS010,020722,020722,FPOS010-020722
SEM127,020724,020724,SEM127-020724
FPOS005,020724,020724,FPOS005-020724
SEM102,020724,020724,SEM102-020724
SEM122,020724,020724,SEM122-020724
FCAR002,020724,020724,FCAR002-020724
SEM085,020724,020724,SEM085-020724
SCCO002,020819,020819,SCCO002-020819
FGRA002,020819,020819,FGRA002-020819
FCAR039,020819,020819,FCAR039-020819
FCAR003,020819,020819,FCAR003-020819
FPOS005,020821,020821,FPOS005-020821
FTAR002,020821,020821,FTAR002-020821
FTAR001,020821,020821,FTAR001-020821
SCRE010,020821,020821,SCRE010-020821
FPOS009,020821,020821,FPOS009-020821
FCAR012,020822,020822,FCAR012-020822
SEM067,020822,020822,SEM067-020822
FCAR011,020822,020822,FCAR011-020822
SCRE036,020822,020822,SCRE036-020822
SEM005,020823,020823,SEM005-020823
SEM104,020823,020823,SEM104-020823
SCRE049,020823,020823,SCRE049-020823
FCAR017,020823,020823,FCAR017-020823
SCRE010,020823,020823,SCRE010-020823
FCAR019,020823,020823,FCAR019-020823
FPOS010,020823,020823,FPOS010-020823
SCRE048,020823,020823,SCRE048-020823
SEM083,020823,020823,SEM083-020823
FCAR018,020823,020823,FCAR018-020823
SEM127,020824,020824,SEM127-020824
SCRE036,020824,020824,SCRE036-020824
FMUE002,020824,020824,FMUE002-020824
FCAR001,020824,020824,FCAR001-020824
FPOS005,020824,020824,FPOS005-020824
SEM124,020824,020824,SEM124-020824
SCRE070,020824,020824,SCRE070-020824
FCAR031,020824,020824,FCAR031-020824
FCAR000,020919,020919,FCAR000-020919
FCAR002,020919,020919,FCAR002-020919
FPES001,020919,020919,FPES001-020919
FCAR001,020919,020919,FCAR001-020919
FCAR031,020919,020919,FCAR031-020919
FCAR012,020920,020920,FCAR012-020920
FPOS009,020920,020920,FPOS009-020920
SEM092,020921,020921,SEM092-020921
FCAR015,020921,020921,FCAR015-020921
FCAR016,020921,020921,FCAR016-020921
SEM067,020921,020921,SEM067-020921
SCRE050,020922,020922,SCRE050-020922
FPOS010,020922,020922,FPOS010-020922
SCRE051,020922,020922,SCRE051-020922
SEM085,020922,020922,SEM085-020922
SCRE036,020924,020924,SCRE036-020924
FCAR002,020924,020924,FCAR002-020924
SEM102,020924,020924,SEM102-020924
SCRE049,020924,020924,SCRE049-020924
SCRE010,020924,020924,SCRE010-020924
SCRE048,020924,020924,SCRE048-020924
FCAR024,020924,020924,FCAR024-020924
