Cód. artículo;Artículo;Tipo unidad (Obsoleto);Precio estándar;Precio compra;Ultimo precio compra;Familia;Línea;Tipo;Obsoleto;Peso;Peso neto artículo;
FGUA004;PURE DE CALABAZA CON MIEL (CAJA 10 uds);Uds;0,0000;0,0000;0;GUARNICI;FOODVAC;CONGELAD;Si;2,85;;
FGUA005;CORAZON/ FLOR DE ALCACHOFA (Caja 8 uds X 500 g);Uds;30,0248;0,0000;0;GUARNICI;FOODVAC;CONGELAD;No;4,331;0,5;
FGUA006;PISTO CASERO (CAJA 12 uds x 250 gr);Uds;17,1546;0,0000;0;GUARNICI;FOODVAC;CONGELAD;Si;3,3;;
FGUA1000;GUARNICION COMPENSACION;Uds;0,0000;0,0000;0;GUARNICI;FOODVAC;CONGELAD;No;0;;
FHOME1;MENU MEAT LOVERS (2 SECRETO, 2 RABO VACUNO, 2 CORDERO);Cajas;0,0000;0,0000;0;HOME;FOODVAC;REFRIGER;Si;1,5;;
FHOME1000;HOME COMPENSACION;Uds;0,0000;0,0000;0;HOME;FOODVAC;REFRIGER;Si;0;;
FHOME2;CENA MEDITERRANEA (2 CORVINA, 2 BACALAO, 4 ALCACHOFA, 4 CARROT CAKE);Cajas;0,0000;0,0000;0;HOME;FOODVAC;REFRIGER;Si;1,5;;
FHOME3;CENA RURAL PARA 2 (2 SECRETO, 2 ALCACHOFA, 2 GRATEN PATATA, 2 BROWNIE);Cajas;0,0000;0,0000;0;HOME;FOODVAC;REFRIGER;Si;1,5;;
FHOME4;UN BUEN BANQUETE (4 SECRETO, 4 ALCACHOFA, 4 GRATEN PATATA, 4 BROWNIE);Cajas;0,0000;0,0000;0;HOME;FOODVAC;REFRIGER;Si;1,9;;
FHOME5;FISH AND MORE  (2 CORVINA, 2 ALCACHOFA, 2 GRATEN SETAS, 2 CARROT CAKE);Cajas;0,0000;0,0000;0;HOME;FOODVAC;REFRIGER;Si;1;;
FHOME6;FIESTA MEDITERRANEA (4 CORVINA, 4 ALCACHOFA,4 GRATEN SETAS, 4 CARROT CAKE);Cajas;0,0000;0,0000;0;HOME;FOODVAC;REFRIGER;Si;2;;
FHOME7;DOMINGO VALENCIANO (ARROZ: AL HORNO, DE VERDURAS, SECRETO CON BOLETUS,4 CARROT,4 BROWNIE);Cajas;0,0000;0,0000;0;HOME;FOODVAC;REFRIGER;Si;2;;
FHOME8;MENU A LA CARTA;Cajas;0,0000;0,0000;0;HOME;FOODVAC;REFRIGER;Si;2;;
FMAT1000;MATERIAS PRIMAS COMPENSACION;Uds;0,0000;5,9500;5,95;MP;COMPON;CONGELAD;No;0;;
FMENU1000;MENU CATERING  COMPENSACION;Uds;0,0000;0,0000;0;MENCAT;FOODVAC;REFRIGER;Si;0;;
FMUE001;CORAZÓN/ FLOR DE ALCACHOFA (3 UDS);Uds;1,5523;0,0000;0;GUARNICI;FOODVAC;CONGELAD;No;0;0,2;
FMUE002;PULLED PORK (200 gr);Uds;2,1844;0,0000;0;CARNES;FOODVAC;CONGELAD;No;0,2;0,2;
FMUE003;PULLED PORK BBQ (200 gr);Uds;2,1431;0,0000;0;CARNES;FOODVAC;CONGELAD;No;0,2;0,2;
FMUE004;SALSA VACUNO (50 gr);Uds;0,4333;0,0000;0;CARNES;FOODVAC;CONGELAD;No;0,2;0,05;
FMUE005;CROQUETAS JAMON IBERICO SIN GLUTEN (6 UDS) FORMATO 20 GR;Uds;0,0000;0,0000;0;CROQUETA;FOODVAC;CONGELAD;No;0;;
FMUE006;CROQUETAS QUESO AZUL SIN GLUTEN (6 UDS) FORMATO 20 GR;Uds;0,0000;0,0000;0;CROQUETA;FOODVAC;CONGELAD;No;0;;
